,2m Air Temperature,Relative Humidity,GHI,DNI,DHI,IR(h),10m Wind speed,10m wind direction,Air pressure,Month,Day,Declination,Hour angle,Rb_front,Rb_rear,DOY,Solar Zenith angle,G_Front,Total_G
2030-05-01 18:15:00,14.952081759818645,55.6297965986151,138.9252632615427,387.72863675732503,57.05557837222066,284.2301538897693,5.463398983619192,319.7481468244306,100247.327024767,5.0,1.0,14.90088745587464,93.76060963295674,0.0,0.414853211269346,121,83.59059311067021,,
2030-05-01 18:30:00,14.830590503523293,56.222279908216535,87.12385536027634,246.9008720940268,39.74608560384901,284.1901505035237,5.149770131360902,320.41230833543693,100252.42914613168,5.0,1.0,14.90088745587464,97.52676182039482,0.0,1.0,121,86.4247377666755,,
2030-05-01 18:45:00,14.706303995466298,56.891123263709716,42.51051977887177,112.86767138371515,23.063550033552858,284.0550718655161,4.813756213422161,321.12031567872486,100258.06669443051,5.0,1.0,14.90088745587464,101.27953309763552,0.0,1.0,121,89.21583069320236,,
2030-05-01 19:00:00,14.56,57.65,12.0,22.56,11.0,283.6,4.55,322.0,100263.0,5.0,1.0,14.90088745587464,105.0,0.0,1.0,121,91.94531202073915,,
2030-05-01 19:15:00,14.39167851712441,58.498910117087405,0.0,0.0,3.5554355031904423,282.8249349069754,4.358501491094417,323.0513612992625,100267.22906284017,5.0,1.0,14.90088745587464,108.68816252748837,0.0,1.0,121,94.60884726930287,,
2030-05-01 19:30:00,14.201339546839518,59.437853614971914,0.0,0.0,0.7298565431241848,281.7298765864421,4.239260686705414,324.27439957651234,100270.75388295099,5.0,1.0,14.90088745587464,112.34402068010053,0.0,1.0,121,97.2019711003433,,
2030-05-01 19:45:00,14.01283080313487,60.37037030537048,0.0,0.0,0.28934931149583454,280.56987997268783,4.155389538963703,325.61023806550594,100275.40176158631,5.0,1.0,14.90088745587464,116.07786849266239,0.0,1.0,121,99.79582024897542,,
2030-05-01 20:00:00,13.85,61.2,0.0,0.0,0.0,279.6,4.07,327.0,100283.0,5.0,1.0,14.90088745587464,120.0,0.0,1.0,121,102.45354500088061,,
2030-05-01 20:15:00,13.71284713743491,61.92674269886051,1.2709605964911472,5.0892155853870396,0.0,278.8202366683788,3.9830920698143055,328.44368537999446,100293.54859819204,5.0,1.0,14.90088745587464,124.11041520211336,0.0,1.0,121,105.15587666446172,,
2030-05-01 20:30:00,13.6013722154396,62.55059840195199,1.1516975405946703,4.61165663181848,0.0,278.230589977824,3.8946657484066183,329.94129420548927,100307.04755616243,5.0,1.0,14.90088745587464,128.40911409900235,0.0,1.0,121,107.8793084404539,,
